MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Mogi das Cruzes,98.410,1.462.581,378.276,1.464.214,3.403.481,529.432,3.932.913,11.312
Mogi Guaçu,162.550,936.937,170.793,658.423,1.928.703,317.227,2.245.930,17.494
Mogi Mirim,59.977,360.367,113.258,497.929,1.031.531,208.255,1.239.786,14.945
Mombuca,11.047,1.043,4.663,6.381,23.134,590,23.724,7.505
Monções,2.885,1.313,3.672,3.321,11.192,504,11.696,5.604
Mongaguá,3.200,26.909,55.196,95.117,180.422,10.232,190.654,4.968
Monte Alegre do Sul,17.193,10.250,9.866,18.859,56.169,6.060,62.229,9.505
Monte Alto,57.793,95.928,51.523,174.633,379.878,53.621,433.498,9.714
Monte Aprazível,25.894,65.936,21.470,81.359,194.659,17.238,211.897,10.921
Monte Azul Paulista,42.780,16.123,25.147,71.087,155.137,11.104,166.241,8.535
Monte Castelo,10.245,1.567,4.970,6.851,23.633,603,24.237,5.924
Monte Mor,28.666,498.726,44.571,181.331,753.294,226.356,979.650,23.990
Monteiro Lobato,3.953,1.653,5.834,8.221,19.661,1.815,21.476,5.689
Morro Agudo,175.804,95.638,35.598,127.402,434.440,33.742,468.182,17.679
Morungaba,12.407,53.503,14.185,134.888,214.983,51.142,266.125,25.372
Motuca,49.495,22.354,6.578,17.065,95.491,4.853,100.345,25.130
Murutinga do Sul,8.429,2.309,5.950,8.425,25.112,1.037,26.150,6.460
Nantes,18.527,1.118,3.412,7.562,30.618,503,31.121,12.865
Narandiba,8.270,2.025,6.151,4.302,20.749,646,21.395,5.457
Natividade da Serra,4.756,1.140,8.380,6.534,20.809,732,21.541,3.116
Nazaré Paulista,8.615,19.607,16.106,31.064,75.391,11.681,87.072,5.776
Neves Paulista,8.010,17.916,10.046,21.162,57.134,3.537,60.670,6.829
Nhandeara,14.938,8.154,11.428,33.859,68.378,4.843,73.222,7.048
Nipoã,9.633,3.456,4.442,8.155,25.686,1.446,27.132,7.671
Nova Aliança,7.285,2.352,6.302,9.971,25.910,1.461,27.371,5.366
Nova Campina,12.998,23.024,10.009,9.307,55.339,5.641,60.980,7.936
Nova Canaã Paulista,9.148,1.053,3.457,2.815,16.473,294,16.767,7.004
Nova Castilho,5.862,386,3.020,1.874,11.141,181,11.322,11.057
Nova Europa,14.983,10.005,10.450,20.997,56.435,8.632,65.067,8.328
Nova Granada,35.657,6.608,20.121,53.567,115.953,7.119,123.071,6.963
Nova Guataporanga,1.011,628,3.629,2.803,8.071,294,8.365,3.933
Nova Independência,6.686,1.257,4.083,3.166,15.191,393,15.584,6.609
Nova Luzitânia,3.712,934,4.009,3.954,12.609,435,13.043,4.435
Nova Odessa,6.001,329.949,62.023,188.358,586.331,105.633,691.964,15.401
Novais,15.928,1.248,4.970,5.586,27.732,435,28.167,7.831
Novo Horizonte,84.934,43.896,37.951,109.335,276.116,17.637,293.752,8.720
